date,time,type,duration
2012-01-17,14:00,conditioning,30
2012-01-18,06:00,cycling,40
2012-01-18,07:00,conditioning,60
2012-01-18,08:00,cycling,30
2012-01-18,15:00,cycling,30
2012-01-19,08:00,cycling,30
2012-01-21,15:00,swimming,30
2012-01-22,14:00,walking,30
2012-01-23,14:00,conditioning,30
2012-01-24,16:00,conditioning,30
2012-01-25,20:00,soccer,60
2012-01-27,20:00,dancing,120
2012-01-28,22:00,walking,30
2012-01-29,10:00,walking,240
2012-01-30,16:00,conditioning,30
2012-01-31,16:00,conditioning,30
2012-02-01,20:00,soccer,60
2012-02-02,16:00,conditioning,30
2012-02-03,20:00,cycling,60
2012-02-03,21:00,dancing,30
2012-02-05,13:00,soccer,30
2012-02-06,16:00,longboarding,30
2012-02-07,16:00,conditioning,30
2012-02-08,20:00,soccer,60
2012-02-10,15:00,conditioning,40
2012-02-11,12:00,walking,240
2012-02-12,11:00,running,60
2012-02-15,12:00,cycling,60
2012-02-15,20:00,soccer,60
2012-02-21,16:00,conditioning,45
2012-02-22,20:00,soccer,60
2012-03-15,16:00,conditioning,45
2012-03-16,12:00,conditioning,45
2012-03-17,22:00,conditioning,30
2012-03-18,09:00,walking,30
2012-03-19,16:00,conditioning,45
2012-03-20,16:00,running,60
2012-03-21,20:00,soccer,60
2012-03-22,16:00,conditioning,30
2012-03-22,23:00,walking,30
