date,caffeine,sweets,alcohol,supplements
2012-01-16,0,1,2,0
2012-01-17,1,2,4,0
2012-01-18,1,1,4,1
2012-01-19,0,1,2,1
2012-01-20,0,2,4,1
2012-01-21,1,2,5,1
2012-01-22,1,1,5,1
2012-01-23,0,1,1,1
2012-01-24,0,1,1,1
2012-01-25,0,0,2,1
2012-01-26,0,1,3,1
2012-01-27,0,1,4,1
2012-01-28,0,1,8,1
2012-01-29,0,3,2,1
2012-01-30,0,1,4,1
2012-01-31,0,1,1,1
2012-02-01,0,1,6,1
2012-02-02,0,0,0,1
2012-02-03,0,1,4,1
2012-02-04,0,2,5,1
2012-02-05,0,1,3,1
2012-02-06,0,2,1,1
2012-02-07,0,1,1,1
2012-02-08,1,1,4,1
2012-02-09,0,1,1,1
2012-02-10,0,1,6,1
2012-02-11,0,1,4,1
2012-02-12,0,1,5,1
2012-02-13,0,1,3,1
2012-02-14,0,2,4,1
2012-02-15,0,1,2,1
2012-02-16,,,,1
2012-03-05,0,1,4,1
2012-03-06,,,,1
2012-03-12,0,1,4,1
2012-03-13,1,1,2,1
2012-03-14,0,1,8,1
2012-03-15,0,1,0,1
2012-03-16,0,1,1,1
2012-03-17,0,1,5,1
2012-03-18,0,1,5,0
2012-03-19,0,1,4,1
2012-03-20,0,1,2,1
2012-03-21,0,0,2,1
2012-03-22,0,1,2,1
