date,relaxation,exercise,diet,supplements
2012-01-16,1,0,1,0
2012-01-17,1,1,0,0
2012-01-18,1,1,0,1
2012-01-19,1,1,1,1
2012-01-20,1,0,0,1
2012-01-21,1,1,0,1
2012-01-22,1,1,0,1
2012-01-23,1,1,1,1
2012-01-24,1,1,1,1
2012-01-25,1,1,1,1
2012-01-26,1,0,0,1
2012-01-27,1,1,0,1
2012-01-28,0,1,0,1
2012-01-29,0,1,0,1
2012-01-30,1,1,1,1
2012-01-31,1,1,1,1
2012-02-01,1,1,0,1
2012-02-02,1,1,1,1
2012-02-03,1,1,0,1
2012-02-04,1,0,0,1
2012-02-05,1,1,0,1
2012-02-06,1,1,0,1
2012-02-07,1,1,1,1
2012-02-08,1,1,0,1
2012-02-09,1,0,1,1
2012-02-10,1,1,0,1
2012-02-11,0,1,1,1
2012-02-12,0,1,0,1
2012-02-13,1,0,1,1
2012-02-14,0,0,0,1
2012-02-15,0,1,1,1
2012-02-16,0,0,0,1
2012-03-05,1,0,1,1
2012-03-06,1,0,0,1
2012-03-12,0,0,1,1
2012-03-13,1,0,1,1
2012-03-14,1,0,0,1
2012-03-15,1,1,1,1
2012-03-16,1,1,1,1
2012-03-17,1,1,0,1
2012-03-18,0,1,0,1
2012-03-19,1,1,1,1
2012-03-20,1,1,1,1
2012-03-21,1,1,1,1
2012-03-22,1,1,1,1
